epoch,loss,mae,mse
0,0.0005602566335557801,0.010470806,0.00056025625
1,5.733674162521034e-05,0.0054262914,5.7336707e-05
2,5.1327510804261477e-05,0.005110827,5.132751e-05
3,4.8424332949984744e-05,0.0049490863,4.8424386e-05
4,4.660751152820738e-05,0.0048469394,4.6607518e-05
5,4.5222069909194646e-05,0.0047680233,4.5222034e-05
6,4.4020952126442374e-05,0.0046995706,4.4020922e-05
7,4.298567312034744e-05,0.004639991,4.2985677e-05
8,4.216288619231116e-05,0.0045919768,4.216287e-05
9,4.144485582952342e-05,0.00455087,4.1444808e-05
10,4.078465747066918e-05,0.0045130905,4.0784715e-05
11,4.018753813478735e-05,0.00447783,4.0187562e-05
12,3.96010629563726e-05,0.0044429316,3.9601044e-05
13,3.9059519841852744e-05,0.0044113807,3.90595e-05
14,3.856082768542585e-05,0.00438266,3.856082e-05
15,3.81052086410893e-05,0.0043563703,3.8105205e-05
16,3.7664963909417105e-05,0.004331151,3.7664922e-05
17,3.7218717368543124e-05,0.004305808,3.7218768e-05
18,3.679638243848817e-05,0.0042812056,3.67964e-05
19,3.639297292037847e-05,0.0042580413,3.6393023e-05
20,3.601760173116373e-05,0.0042365175,3.601755e-05
21,3.563726401442625e-05,0.004214943,3.563726e-05
22,3.5270587150186794e-05,0.004194846,3.5270627e-05
23,3.492827495594181e-05,0.0041758814,3.492826e-05
24,3.460421306827116e-05,0.004158118,3.4604203e-05
