epoch,loss,mae,mse,val_loss,val_mae,val_mse
0,0.002577944483074049,0.024853658,0.0025779435,0.0015840489972314838,0.03460811,0.0015840526
1,0.0007808455105560521,0.021117449,0.000780845,0.00065747645523002,0.01950497,0.0006574815
2,0.000601934541426599,0.018424274,0.0006019345,0.0008197832788221288,0.023174467,0.0008197878
3,0.0005444602091424167,0.017402507,0.00054446,0.0005615596918228361,0.018150901,0.0005615626
4,0.0005004962588474154,0.01651013,0.00050049654,0.0005469716346153988,0.018241964,0.0005469741
5,0.0004739452637421588,0.015971277,0.00047394505,0.00043579910849706805,0.015339533,0.00043579977
6,0.00045146222590779266,0.015515182,0.0004514621,0.0003982517396132093,0.01424577,0.00039825178
7,0.0004328503554003934,0.015126491,0.00043285044,0.00037446221695041666,0.013623015,0.00037446158
8,0.00041853171719238164,0.014823608,0.00041853153,0.000366104538648039,0.013500079,0.0003661026
9,0.000406109139410158,0.014567585,0.00040610912,0.0003653165211075029,0.01362001,0.00036531538
10,0.0003952220869374772,0.014346224,0.00039522254,0.0003628516167221099,0.013649639,0.00036285
11,0.00038558208956072725,0.014154067,0.00038558184,0.0003552948323590902,0.013482474,0.00035529255
12,0.00037654314113470415,0.013977551,0.00037654268,0.00034547163917531974,0.013233736,0.00034547053
13,0.00036807007327365376,0.0138148535,0.00036807102,0.0003496465828574286,0.013560403,0.00034964635
14,0.0003599795271301021,0.013655404,0.00035997952,0.00035795700685506616,0.01399075,0.00035795703
15,0.00035346053900197147,0.013522768,0.00035346043,0.0003622027038794257,0.014219934,0.00036220322
16,0.0003485606140550226,0.013424248,0.00034856098,0.0003626459146148041,0.014297131,0.0003626456
17,0.0003446107095014304,0.013343716,0.00034461016,0.0003613568933037889,0.014302193,0.0003613564
