epoch,loss,mae,mse,val_loss,val_mae,val_mse
0,0.00012565924147519924,0.026569372,0.0018201061,9.064209566085306e-05,0.024547998,0.0013496003
1,8.995032562516467e-05,0.02416525,0.0013081292,8.603334639569682e-05,0.023904579,0.0012738626
2,8.637100594072186e-05,0.023919065,0.0012758283,8.254865287448899e-05,0.023635482,0.001249516
3,8.312620897368519e-05,0.023741838,0.001254141,8.033945193591396e-05,0.023633122,0.0012418564
4,8.006538078355773e-05,0.02358462,0.0012329271,7.788016459945845e-05,0.023806982,0.0012509528
5,7.713804085220341e-05,0.023414506,0.0012119662,7.517628204171873e-05,0.02352164,0.0012155848
6,7.405693948111856e-05,0.02321825,0.0011879572,7.401654995300748e-05,0.023638302,0.0012092673
7,7.127832908549237e-05,0.022985868,0.0011611669,7.317847299485919e-05,0.0235124,0.0011793709
8,6.895018187761136e-05,0.022767905,0.0011369016,7.106022184420242e-05,0.023208233,0.0011482271
9,6.710505662075873e-05,0.022560766,0.001115927,6.870257100072169e-05,0.023020012,0.0011336764
10,6.565312877750728e-05,0.022372145,0.0010988994,6.809916773597031e-05,0.022569967,0.0010830852
11,6.451961531948349e-05,0.022210058,0.0010850625,6.527103656250619e-05,0.022094306,0.00104675
12,6.356853865439511e-05,0.02206857,0.0010735305,6.362783474669078e-05,0.021865187,0.0010302295
13,6.274383565103747e-05,0.021935089,0.0010630778,6.159333882236206e-05,0.021703463,0.0010277837
14,6.204077882327089e-05,0.021825368,0.0010549197,6.0708238415672264e-05,0.021422245,0.0010048349
15,6.142933801739769e-05,0.021709183,0.0010458505,6.019975491089827e-05,0.021239458,0.0009898958
16,6.090178870131512e-05,0.021606732,0.0010377686,5.959867476160684e-05,0.021124901,0.0009819118
17,6.0365897394510836e-05,0.021505978,0.0010304399,5.897544299817103e-05,0.021077104,0.0009827416
18,5.991094698671467e-05,0.02141026,0.0010238996,5.849601938452169e-05,0.020977208,0.0009762418
19,5.945301944264481e-05,0.021318158,0.0010176599,5.8327561289618177e-05,0.020980332,0.0009778902
20,5.9079035378985347e-05,0.021234164,0.0010116145,5.870972444029849e-05,0.020932665,0.0009684937
21,5.873885158649771e-05,0.021150613,0.0010055391,5.8504110050671186e-05,0.020920765,0.0009684967
22,5.84290657514274e-05,0.021069966,0.000999427,5.850226032888536e-05,0.02087082,0.0009642794
23,5.814639877264635e-05,0.02098888,0.000993535,5.8725499907675915e-05,0.020921657,0.0009670596
24,5.786087127145917e-05,0.020914638,0.0009880081,5.806694200591056e-05,0.020767696,0.0009570676
25,5.761914807266999e-05,0.02083992,0.0009826251,5.7779355801168e-05,0.020933941,0.00097597163
26,5.7366598657645544e-05,0.020772155,0.0009779257,5.7347454328435555e-05,0.020704132,0.0009559133
27,5.71517740545708e-05,0.02071667,0.0009740222,5.733183195890168e-05,0.020706102,0.00095634046
28,5.693556134488487e-05,0.020650972,0.0009695581,5.705796721197465e-05,0.020678561,0.0009554194
29,5.6733248416996446e-05,0.020595731,0.000965646,5.6455946820591853e-05,0.020459792,0.00093789893
30,5.65263759605973e-05,0.020540703,0.000961663,5.623510892621863e-05,0.020595962,0.00095344597
31,5.633468688998054e-05,0.020485925,0.00095791253,5.5770125253604434e-05,0.020474125,0.0009460236
32,5.616611422516977e-05,0.020440817,0.0009545229,5.601759581327929e-05,0.020484678,0.0009453397
33,5.601786809232419e-05,0.020402705,0.0009519218,5.5834252942576384e-05,0.020518212,0.00095058116
34,5.585586483837259e-05,0.020358842,0.0009487153,5.5668895214976235e-05,0.020265708,0.00092654995
35,5.571886731466203e-05,0.020322384,0.00094601,5.561278780838998e-05,0.02035752,0.00093727716
36,5.5582728119071645e-05,0.020283915,0.00094330154,5.5194842041013725e-05,0.020116642,0.0009159733
37,5.5465971218845654e-05,0.020252876,0.00094119535,5.511912135453282e-05,0.020212065,0.00092684967
38,5.530894257875371e-05,0.020213911,0.00093850313,5.481777922484237e-05,0.020026872,0.00091069133
39,5.5204161940906054e-05,0.020177359,0.0009359488,5.472573398820348e-05,0.020032292,0.0009115188
40,5.506998224739153e-05,0.02013359,0.0009328836,5.4352745651371794e-05,0.020020127,0.00091455923
41,5.496578163592514e-05,0.020099452,0.00093039806,5.4352810949727676e-05,0.020032711,0.0009142211
42,5.486159527596993e-05,0.020062193,0.00092777435,5.4041273464641834e-05,0.020015007,0.0009154888
43,5.474165219442982e-05,0.020027194,0.00092530984,5.38430008189809e-05,0.019935293,0.00091006496
44,5.464165411919836e-05,0.01999438,0.00092283834,5.4596075191366876e-05,0.020013327,0.00091359083
45,5.4585749613382645e-05,0.019970335,0.0009212558,5.450013385019841e-05,0.019982917,0.00091063685
46,5.446758156262357e-05,0.019941546,0.0009193371,5.421884142434616e-05,0.019956388,0.0009108381
47,5.436552469080883e-05,0.019909866,0.00091709034,5.432618675631097e-05,0.019979753,0.00091114
48,5.4269579488876276e-05,0.019884842,0.0009153222,5.400802353116737e-05,0.019941553,0.0009112255
