epoch,loss,mae,mse,val_loss,val_mae,val_mse
0,0.0009191417989173594,0.01289403,0.0009191419,8.506317518592395e-05,0.006684804,8.506172e-05
1,8.137085627958489e-05,0.006586118,8.137084e-05,6.324899402362336e-05,0.0055329963,6.3247855e-05
2,7.287974782288075e-05,0.006244335,7.287979e-05,5.8344017747942414e-05,0.005321551,5.834301e-05
3,6.85707126185298e-05,0.006045613,6.857071e-05,5.592845286008822e-05,0.0052077454,5.5927354e-05
4,6.617794346937444e-05,0.0059348443,6.6177934e-05,6.320536509980011e-05,0.005809364,6.320406e-05
5,6.417982942599338e-05,0.00583732,6.4179876e-05,6.284847655372001e-05,0.0057770596,6.284702e-05
6,6.275036732122923e-05,0.0057640173,6.275038e-05,6.215664037316897e-05,0.005741396,6.215538e-05
7,6.11975423238861e-05,0.0056872056,6.119752e-05,5.621441909713047e-05,0.005312871,5.6213208e-05
8,6.0047030720161274e-05,0.0056300797,6.004701e-05,5.300582903714359e-05,0.005084812,5.300468e-05
9,5.885974856869628e-05,0.0055671087,5.8859736e-05,5.012107009719357e-05,0.0049156332,5.012009e-05
10,5.7992726050821756e-05,0.0055293967,5.7992762e-05,5.3123084942943365e-05,0.0051412797,5.3122363e-05
11,5.7558825710439124e-05,0.0055131726,5.7558816e-05,5.660592332254105e-05,0.0053823018,5.660515e-05
12,5.647626533464063e-05,0.0054543987,5.647625e-05,5.6741057309543075e-05,0.005423482,5.6740293e-05
13,5.563220138060084e-05,0.005419929,5.5632165e-05,5.564330190613676e-05,0.0053646457,5.5642467e-05
14,5.428625527303666e-05,0.0053482056,5.4286265e-05,5.733453790228578e-05,0.005486566,5.7333684e-05
15,5.29783483146457e-05,0.005275117,5.297832e-05,5.525389693385727e-05,0.0053426265,5.5253262e-05
16,5.1851876037350546e-05,0.005220702,5.1851886e-05,5.724375708492122e-05,0.0054891156,5.7243025e-05
17,5.060162663731413e-05,0.0051580407,5.0601644e-05,5.572992590166462e-05,0.0054023843,5.5729157e-05
18,4.912804763259677e-05,0.005080158,4.9128044e-05,5.398072400089941e-05,0.0052948343,5.397989e-05
19,4.7836480238086854e-05,0.005016554,4.78365e-05,5.30131176112736e-05,0.005269008,5.30124e-05
