epoch,loss,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,4.862171375707754e-05,0.01486639,0.00071397884,2.622736326158124e-05,0.013189318,0.00035673418
1,2.2788408071995302e-05,0.012256967,0.00032675636,2.016686436663276e-05,0.011580029,0.00030879938
2,2.20022684455172e-05,0.012015378,0.00031630308,1.985604730147982e-05,0.011500168,0.00030425575
3,2.1467739012755735e-05,0.011870797,0.0003102642,2.036238988844125e-05,0.011716273,0.00030725708
4,2.1024283847746032e-05,0.011733643,0.00030439897,2.4964138973244456e-05,0.012683796,0.0003241911
5,2.06225723155416e-05,0.011575256,0.00029787453,2.1741870662960295e-05,0.01213294,0.00031579862
6,2.0290102929632188e-05,0.011468461,0.00029448525,2.0966331260309946e-05,0.011840789,0.00030440252
7,2.004446362373678e-05,0.011357885,0.00029015946,2.1214846886109177e-05,0.011915698,0.00030562156
