epoch,loss,mae,mse
0,0.005661934194295707,0.04826483,0.0056619328
1,0.0004343907142513595,0.013385471,0.00043439164
2,0.0002591437950233608,0.010592999,0.00025914336
3,0.00020644226857280762,0.009665974,0.00020644208
4,0.00018053654983784793,0.009173416,0.00018053674
5,0.00016378069804564026,0.008832137,0.00016378069
6,0.00015224731737104348,0.008583512,0.00015224745
7,0.0001439241346054617,0.008394988,0.00014392429
8,0.00013797812660109059,0.008256551,0.0001379782
9,0.00013343831571888354,0.008148248,0.00013343827
10,0.00012983437587584635,0.008060217,0.00012983449
11,0.0001268579314183615,0.00798859,0.00012685802
12,0.00012426271560189326,0.007923458,0.0001242627
13,0.00012200195095469461,0.0078659365,0.00012200178
14,0.0001200085639080291,0.007813533,0.000120008306
15,0.0001180928635884503,0.007758144,0.000118092976
16,0.00011631499871406403,0.0077066557,0.000116315045
17,0.00011484925982031423,0.007665139,0.00011484927
18,0.00011357805817229984,0.0076290807,0.00011357818
19,0.0001123878721303782,0.007593991,0.00011238783
20,0.0001113351723197659,0.0075620203,0.00011133553
21,0.0001103453863305422,0.007531203,0.0001103451
22,0.0001094263875700605,0.0075023095,0.00010942632
23,0.00010859279543128842,0.0074757435,0.00010859276
24,0.00010784606532995958,0.007452329,0.0001078461
